job_attempt_id,run_chid,attempt_kind,restart_parent_job_attempt_id,attempt_input_sha256,run_core_sha256,attempt_input_path,return_dir,checkpoint_manifest_sha256,T_end_s,fds_version_planned,fds_version_actual,exit_status,allocated_cores,wall_clock_s,prepared_at_utc,status
p_q018_s40_x50_g50m18_r104729_a01,p_q018_s40_x50_g50m18_r104729,initial,,f0bf26eea0d1d88a1367493652d088de75fde76d8b01afcce930760c507a1751,e1758d089ef3f06cba24cd08c617dcf2e861be74be8358371dadc4e3db7eef3b,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\pilot\p_q018_s40_x50_g50m18_r104729\attempts\p_q018_s40_x50_g50m18_r104729_a01\p_q018_s40_x50_g50m18_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\pilot\p_q018_s40_x50_g50m18_r104729\attempts\p_q018_s40_x50_g50m18_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-19T13:48:09.424848+00:00,AWAITING_EXTERNAL_RUN
p_q036_s40_x50_g50m18_r104729_a01,p_q036_s40_x50_g50m18_r104729,initial,,7c376424cb51a5c8d913e675a49eb35780969e6dc654dd9aaeeb6e9b115a7a45,517640d7af6008537d013a0c22f7e8065ef44f9c7b327bdd3a6876a482ce53ae,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\pilot\p_q036_s40_x50_g50m18_r104729\attempts\p_q036_s40_x50_g50m18_r104729_a01\p_q036_s40_x50_g50m18_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\pilot\p_q036_s40_x50_g50m18_r104729\attempts\p_q036_s40_x50_g50m18_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-19T13:48:09.441481+00:00,AWAITING_EXTERNAL_RUN
d_q018_s35_x50_g25_r104729_a01,d_q018_s35_x50_g25_r104729,initial,,db160c66ae8da937c5cff0f76c976a3d41ae1e8bb8c8ca36fa0804433d1b3b1d,de5317f4288d68b5f4f0fd735f46bc367fc184f2fb4a369eda746226168bb8f2,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r104729\attempts\d_q018_s35_x50_g25_r104729_a01\d_q018_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r104729\attempts\d_q018_s35_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5749.847,2026-08-21T03:18:41.003752+00:00,COMPLETED_ACCEPTED_G4
d_q027_s45_x40_g25_r104729_a01,d_q027_s45_x40_g25_r104729,initial,,719a92372dc5ecd5affd39fb62135a19ec8b6f549d106b7321590494657992b1,61a83f2243aea5a8af5c0ff1dc690a44cd487409cd8b6737437543ad8628ec38,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r104729\attempts\d_q027_s45_x40_g25_r104729_a01\d_q027_s45_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r104729\attempts\d_q027_s45_x40_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5749.984,2026-08-21T03:18:41.036829+00:00,COMPLETED_ACCEPTED_G4
d_q027_s45_x50_g25_r104729_a01,d_q027_s45_x50_g25_r104729,initial,,f1cd6daa6da157eb972e78cdecf21c76a74d4bfac11007f62ae0b7328696fc7c,9aeb8078232ddca50acbd829149be9d4135a14daa1699c317d5e282be12a1f1f,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x50_g25_r104729\attempts\d_q027_s45_x50_g25_r104729_a01\d_q027_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x50_g25_r104729\attempts\d_q027_s45_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5916.88,2026-08-21T03:18:41.051833+00:00,COMPLETED_ACCEPTED_G4
d_q027_s45_x60_g25_r104729_a01,d_q027_s45_x60_g25_r104729,initial,,74194cdbe4ae1a9cdafade6915796fe19fbcf9c337c6b7ab5f6fc33d68d75656,2366127f9aba3ffaa077c5616f053e79ed90bf4049788cf876065e995e89ec89,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r104729\attempts\d_q027_s45_x60_g25_r104729_a01\d_q027_s45_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r104729\attempts\d_q027_s45_x60_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5926.648,2026-08-21T03:18:41.084806+00:00,COMPLETED_ACCEPTED_G4
d_q036_s50_x50_g25_r104729_a01,d_q036_s50_x50_g25_r104729,initial,,776e8f154a8112ec254c9162e59fcbe4400c5d1039d54c55ea448a1e381da764,3c371fad54ba7eb3cad6fee9d42a74dc3ab2cce4e949a2c8f7b2e3f412a70046,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r104729\attempts\d_q036_s50_x50_g25_r104729_a01\d_q036_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r104729\attempts\d_q036_s50_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5954.147,2026-08-21T03:18:41.124310+00:00,COMPLETED_ACCEPTED_G4
d_q018_s45_x50_g25_r104729_a01,d_q018_s45_x50_g25_r104729,initial,,75c314ae33366414020ce5e98b41fda8dbdb2621a76562a5ac23edf34f9ceabc,98097a3684a14060cc38415ceca04ce37eba61ccde4f213360abe72a7878dc7f,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s45_x50_g25_r104729\attempts\d_q018_s45_x50_g25_r104729_a01\d_q018_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s45_x50_g25_r104729\attempts\d_q018_s45_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,5312.56,2026-08-21T03:18:41.144311+00:00,COMPLETED_ACCEPTED_G4
d_q018_s50_x50_g25_r104729_a01,d_q018_s50_x50_g25_r104729,initial,,406e63d8e8587d950689e5c96b27cc2e24f14582d097c7d1ca83da8ed31a1f10,0b2e2f68eb56f082276f748ad51bfc9fdf5f4b3e88380cc3923b36214a8aa1a5,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x50_g25_r104729\attempts\d_q018_s50_x50_g25_r104729_a01\d_q018_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x50_g25_r104729\attempts\d_q018_s50_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,4999.36,2026-08-21T03:18:41.178794+00:00,COMPLETED_ACCEPTED_G4
d_q027_s35_x50_g25_r104729_a01,d_q027_s35_x50_g25_r104729,initial,,257708dfa59939fc6fdbf8d94bf2f1c0eb55438337687e4f8b1688a75a41632b,f439321bfb672d01579ca621aaf8f27647dbaa9a9ada0627c876539ecd3c4edc,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s35_x50_g25_r104729\attempts\d_q027_s35_x50_g25_r104729_a01\d_q027_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s35_x50_g25_r104729\attempts\d_q027_s35_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.9.1-0-g889da6a-release,FDS_COMPLETED_SUCCESSFULLY,21,6159.635,2026-08-21T03:18:41.204337+00:00,COMPLETED_ACCEPTED_G4
