subset,purpose,case_kind,parent_case_id,physical_case_id,run_chid,replicate_id,Q_requested_MW,Af_requested_m2,Af_discrete_m2,Df_requested_m,Df_discrete_m,burner_side_requested_m,burner_bounds,xf_requested_m,xf_actual_m,yf_actual_m,dx_m,mesh_profile,sensor_profile,output_profile,rnd_seed,T_end_s,fds_version_planned,run_core_sha256,source_input_path,status
development,development_center,fire,d_q036_s50,d_q036_s50_x50,d_q036_s50_x50_g25_r104729,r104729,36,25,25,5.64189583547756,5.64189583547756,5,"[47.5, 52.5, 2.5, 7.5]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),3c371fad54ba7eb3cad6fee9d42a74dc3ab2cce4e949a2c8f7b2e3f412a70046,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q018_s45,d_q018_s45_x50,d_q018_s45_x50_g25_r104729,r104729,18,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[47.75, 52.25, 2.75, 7.25]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),98097a3684a14060cc38415ceca04ce37eba61ccde4f213360abe72a7878dc7f,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s45_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q018_s50,d_q018_s50_x50,d_q018_s50_x50_g25_r104729,r104729,18,25,25,5.64189583547756,5.64189583547756,5,"[47.5, 52.5, 2.5, 7.5]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),0b2e2f68eb56f082276f748ad51bfc9fdf5f4b3e88380cc3923b36214a8aa1a5,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q027_s35,d_q027_s35_x50,d_q027_s35_x50_g25_r104729,r104729,27,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[48.25, 51.75, 3.25, 6.75]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),f439321bfb672d01579ca621aaf8f27647dbaa9a9ada0627c876539ecd3c4edc,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s35_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q027_s50,d_q027_s50_x50,d_q027_s50_x50_g25_r104729,r104729,27,25,25,5.64189583547756,5.64189583547756,5,"[47.5, 52.5, 2.5, 7.5]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),86afea6fb20cf62f3dbe0662993d093969e0d95f5d3a3adc9265964c282e8151,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s50_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q036_s35,d_q036_s35_x50,d_q036_s35_x50_g25_r104729,r104729,36,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[48.25, 51.75, 3.25, 6.75]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),cc40e40584ce6f474f81884650ed6cc9fd01ad36bf1028fea2a007ad58fb55ae,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_center,fire,d_q036_s45,d_q036_s45_x50,d_q036_s45_x50_g25_r104729,r104729,36,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[47.75, 52.25, 2.75, 7.25]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),46652bf285869acea860b58ecd742e09f55216762c8ee1d2520823574ec972e7,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s45_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_offset,fire,d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,r104729,18,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[38.25, 41.75, 3.25, 6.75]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),dc0fc900e953310ad4979653bab5299e9f248aedc86ee40be1d704135637d204,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x40_g25_r104729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q018_s35,d_q018_s35_x50,d_q018_s35_x50_g25_r204729,r204729,18,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[48.25, 51.75, 3.25, 6.75]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),7c7a7e1445e6655bfd7b3f897365634649eb77e2f2588562159031e0d3b34d95,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x50_g25_r204729.fds,COMPLETED_ACCEPTED_G4
development,development_seed_repeat,fire,d_q018_s35,d_q018_s35_x50,d_q018_s35_x50_g25_r304729,r304729,18,12.25,12.25,3.94932708483429,3.94932708483429,3.5,"[48.25, 51.75, 3.25, 6.75]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_t90_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),8300452c9451d1569a381177550a722037076f4ca22a5122c0c44b55cf2ddeaa,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x50_g25_r304729.fds,COMPLETED_ACCEPTED_G4
