s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.2300868E+002, 7.5550966E+004,-2.0689562E+004,-5.0624139E+004,-1.5271653E+003,-4.2212286E+000, 0.0000000E+000, 0.0000000E+000, 6.5855523E+001, 2.7058788E+003, 2.6885414E+002, 1.8344946E+000,-7.6952790E-218
 2.2400406E+002, 8.8117564E+004,-2.4942364E+004,-5.7151310E+004,-1.7131986E+003,-4.3253019E+000, 0.0000000E+000, 0.0000000E+000, 4.0776946E+003, 4.3063664E+003, 2.6885414E+002, 1.8344946E+000,-4.2297507E-212
 2.2501428E+002, 7.9991054E+004,-2.0882245E+004,-5.8526914E+004,-1.7925308E+003,-4.3082553E+000, 0.0000000E+000, 0.0000000E+000,-2.2700010E+001,-1.2149436E+003, 2.6885414E+002, 1.8344946E+000,-2.6835868E-209
 2.2600648E+002, 6.9531586E+004,-1.9250122E+004,-4.7026779E+004,-1.4521763E+003,-4.2290406E+000, 0.0000000E+000, 0.0000000E+000,-1.4100333E+003, 1.7982797E+003, 2.6885414E+002, 1.8344946E+000,-5.4091762E-207
 2.2700105E+002, 8.5253762E+004,-2.4643102E+004,-5.7276730E+004,-1.7514161E+003,-4.2789460E+000, 0.0000000E+000, 0.0000000E+000, 1.0437939E+003, 1.5782350E+003, 2.6885414E+002, 1.8344946E+000,-6.7521221E-208
 2.2800374E+002, 8.5521014E+004,-2.3062058E+004,-6.2081099E+004,-2.0560177E+003,-4.3196026E+000, 0.0000000E+000, 0.0000000E+000,-1.9735219E+002,-1.6824799E+003, 2.6885414E+002, 1.8344946E+000,-1.0150649E-210
 2.2901196E+002, 7.2667349E+004,-1.9533283E+004,-5.1459093E+004,-1.5356772E+003,-4.2386181E+000, 0.0000000E+000, 0.0000000E+000,-2.1699779E+003, 1.3505774E+002, 2.6885414E+002, 1.8344946E+000,-1.1557935E-214
 2.3000491E+002, 8.4698684E+004,-2.4950902E+004,-5.3412244E+004,-1.5831509E+003,-4.2868463E+000, 0.0000000E+000, 0.0000000E+000, 3.6564775E+003, 4.7481009E+003, 2.6885414E+002, 1.8344946E+000,-2.8436123E-216
 2.3100479E+002, 8.1372005E+004,-2.1866159E+004,-6.2141034E+004,-1.6923767E+003,-4.2638960E+000, 0.0000000E+000, 0.0000000E+000,-2.7088423E+003,-4.3318291E+003, 2.6885414E+002, 1.8344946E+000,-2.9566536E-219
 2.3200290E+002, 7.0373772E+004,-1.8823028E+004,-5.0710093E+004,-1.3485939E+003,-4.2594508E+000, 0.0000000E+000, 0.0000000E+000,-2.4772139E+003,-5.1220225E+002, 2.6885414E+002, 1.8344946E+000,-1.3186026E-215
 2.3300673E+002, 8.4202025E+004,-2.4702210E+004,-5.3587353E+004,-1.4935259E+003,-4.3164193E+000, 0.0000000E+000, 0.0000000E+000, 2.9350511E+003, 4.4146191E+003, 2.6885414E+002, 1.8344946E+000,-1.4553404E-213
 2.3400194E+002, 8.3373102E+004,-2.1575172E+004,-6.0527888E+004,-1.8506719E+003,-4.2579843E+000, 0.0000000E+000, 0.0000000E+000, 1.1649886E+003,-5.8488742E+002, 2.6885414E+002, 1.8344946E+000,-2.4736101E-209
