s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.2902280E+002, 3.3575385E+004,-1.0492970E+004,-1.7408143E+004,-1.8408984E+003,-2.1744207E+000, 0.0000000E+000, 0.0000000E+000,-1.8960455E+003, 3.8311995E+003, 1.4936341E+002, 9.1722094E-001,-2.5979906E-177
 1.3000500E+002, 4.6763605E+004,-1.5786506E+004,-2.1053410E+004,-2.0834369E+003,-2.2467747E+000, 0.0000000E+000, 0.0000000E+000, 4.8481032E+003, 7.8380049E+003, 1.4936341E+002, 9.1722094E-001,-2.6573853E-176
 1.3100166E+002, 3.9808213E+004,-1.1489751E+004,-3.1539865E+004,-2.7691100E+003,-2.2417580E+000, 0.0000000E+000, 0.0000000E+000,-2.3553121E+003,-5.9927550E+003, 1.4936341E+002, 9.1722094E-001,-2.1686135E-175
 1.3201740E+002, 3.3450902E+004,-1.0799748E+004,-1.6829568E+004,-1.8929787E+003,-2.1844931E+000, 0.0000000E+000, 0.0000000E+000,-2.0471432E+003, 3.9264224E+003, 1.4936341E+002, 9.1722094E-001,-3.5619223E-175
 1.3300992E+002, 4.4754114E+004,-1.5472227E+004,-1.9685379E+004,-1.9205181E+003,-2.2482921E+000, 0.0000000E+000, 0.0000000E+000, 2.6757214E+003, 7.6737415E+003, 1.4936341E+002, 9.1722094E-001,-5.3688440E-174
 1.3401540E+002, 4.2212145E+004,-1.2256302E+004,-3.0328889E+004,-2.7525885E+003,-2.2451290E+000, 0.0000000E+000, 0.0000000E+000,-3.1745167E+002,-3.1278791E+003, 1.4936341E+002, 9.1722094E-001,-5.1561686E-172
 1.3501503E+002, 3.3542023E+004,-1.0408949E+004,-1.8028572E+004,-2.0267425E+003,-2.2169865E+000, 0.0000000E+000, 0.0000000E+000,-1.4351719E+003, 3.0755412E+003, 1.4936341E+002, 9.1722094E-001,-1.6764900E-171
 1.3600017E+002, 4.4338993E+004,-1.5418563E+004,-2.0769120E+004,-2.1015098E+003,-2.2589798E+000, 0.0000000E+000, 0.0000000E+000, 2.1851970E+003, 6.0475407E+003, 1.4936341E+002, 9.1722094E-001,-2.2232215E-172
 1.3701273E+002, 4.1393185E+004,-1.1699554E+004,-3.2893439E+004,-2.8209685E+003,-2.2291573E+000, 0.0000000E+000, 0.0000000E+000,-2.3234899E+003,-6.0230060E+003, 1.4936341E+002, 9.1722094E-001,-1.6164862E-173
 1.3802013E+002, 3.4307106E+004,-1.1076517E+004,-1.9526733E+004,-2.0733631E+003,-2.1785887E+000, 0.0000000E+000, 0.0000000E+000,-2.6950459E+003, 1.6283133E+003, 1.4936341E+002, 9.1722094E-001,-9.6700107E-175
 1.3900839E+002, 4.4221748E+004,-1.5204143E+004,-1.8805981E+004,-1.9029057E+003,-2.2540960E+000, 0.0000000E+000, 0.0000000E+000, 3.3370504E+003, 8.3064648E+003, 1.4936341E+002, 9.1722094E-001,-3.3776124E-173
 1.4001190E+002, 4.2580358E+004,-1.2110141E+004,-3.1344146E+004,-2.7266918E+003,-2.2723054E+000, 0.0000000E+000, 0.0000000E+000, 2.3660863E+002,-3.6028924E+003, 1.4936341E+002, 9.1722094E-001,-2.6325257E-172
 1.4101096E+002, 3.3898383E+004,-1.0612306E+004,-2.0760216E+004,-2.0493132E+003,-2.1966015E+000, 0.0000000E+000, 0.0000000E+000,-3.3641162E+003, 4.7435143E+002, 1.4936341E+002, 9.1722094E-001,-8.8372302E-171
 1.4201494E+002, 4.3480878E+004,-1.4808652E+004,-2.0033940E+004,-1.9302602E+003,-2.2448382E+000, 0.0000000E+000, 0.0000000E+000, 1.9297015E+003, 6.7057813E+003, 1.4936341E+002, 9.1722094E-001,-4.1725939E-170
 1.4300648E+002, 4.2077173E+004,-1.2181713E+004,-3.1776793E+004,-2.7377438E+003,-2.2528254E+000, 0.0000000E+000, 0.0000000E+000,-1.1893081E+003,-4.6213286E+003, 1.4936341E+002, 9.1722094E-001,-2.0726093E-168
 1.4402626E+002, 3.3647418E+004,-1.0761136E+004,-2.0525083E+004,-2.0837863E+003,-2.1931119E+000, 0.0000000E+000, 0.0000000E+000,-3.4757352E+003, 2.7521921E+002, 1.4936341E+002, 9.1722094E-001,-3.4359961E-165
 1.4501376E+002, 4.3686608E+004,-1.4993056E+004,-1.9256607E+004,-1.8860600E+003,-2.2396882E+000, 0.0000000E+000, 0.0000000E+000, 2.3907206E+003, 7.5486452E+003, 1.4936341E+002, 9.1722094E-001,-3.7084737E-164
 1.4600758E+002, 4.3071224E+004,-1.2483810E+004,-3.1216405E+004,-2.8121707E+003,-2.2490485E+000, 0.0000000E+000, 0.0000000E+000, 1.4978955E+002,-3.4434103E+003, 1.4936341E+002, 9.1722094E-001,-4.4017235E-164
 1.4702074E+002, 3.3303452E+004,-1.0489350E+004,-1.9715160E+004,-2.1095254E+003,-2.1820631E+000, 0.0000000E+000, 0.0000000E+000,-2.5896008E+003, 9.8723521E+002, 1.4936341E+002, 9.1722094E-001,-6.0654846E-166
 1.4801611E+002, 4.3591742E+004,-1.4810990E+004,-1.8688764E+004,-1.8956413E+003,-2.2506887E+000, 0.0000000E+000, 0.0000000E+000, 3.2108492E+003, 8.1940961E+003, 1.4936341E+002, 9.1722094E-001,-8.8625102E-167
 1.4901367E+002, 4.2875968E+004,-1.2567165E+004,-3.1064021E+004,-2.8066028E+003,-2.2510591E+000, 0.0000000E+000, 0.0000000E+000, 2.7052639E+002,-3.5640714E+003, 1.4936341E+002, 9.1722094E-001,-3.2153732E-167
 1.5001257E+002, 3.3055499E+004,-1.0571959E+004,-1.7517798E+004,-2.0425377E+003,-2.1714432E+000, 0.0000000E+000, 0.0000000E+000,-1.7488714E+003, 2.9210324E+003, 1.4936341E+002, 9.1722094E-001,-4.1187545E-168
 1.5100026E+002, 4.3978391E+004,-1.4997206E+004,-1.7527720E+004,-1.8921670E+003,-2.2438655E+000, 0.0000000E+000, 0.0000000E+000, 4.0990239E+003, 9.5590541E+003, 1.4936341E+002, 9.1722094E-001,-2.2753764E-170
 1.5200920E+002, 4.2356528E+004,-1.2084106E+004,-3.1621527E+004,-2.7200679E+003,-2.2523227E+000, 0.0000000E+000, 0.0000000E+000,-2.9672015E+002,-4.0714250E+003, 1.4936341E+002, 9.1722094E-001,-2.3132942E-170
 1.5300739E+002, 3.3129626E+004,-1.0582620E+004,-1.7475536E+004,-1.9023470E+003,-2.1691605E+000, 0.0000000E+000, 0.0000000E+000,-2.5046437E+003, 3.1669536E+003, 1.4936341E+002, 9.1722094E-001,-4.2684659E-170
 1.5401192E+002, 4.6139030E+004,-1.5691448E+004,-2.0113054E+004,-1.9694771E+003,-2.2437064E+000, 0.0000000E+000, 0.0000000E+000, 4.3362931E+003, 8.3628072E+003, 1.4936341E+002, 9.1722094E-001,-2.8190308E-171
 1.5501248E+002, 4.0612185E+004,-1.1436968E+004,-3.2047483E+004,-2.7430424E+003,-2.2373976E+000, 0.0000000E+000, 0.0000000E+000,-1.7814047E+003,-5.6175456E+003, 1.4936341E+002, 9.1722094E-001,-1.4545743E-170
 1.5600024E+002, 3.3908138E+004,-1.0765322E+004,-1.7608899E+004,-1.8871360E+003,-2.1890146E+000, 0.0000000E+000, 0.0000000E+000,-1.4695056E+003, 3.6445912E+003, 1.4936341E+002, 9.1722094E-001,-1.4381130E-169
 1.5700185E+002, 4.4507201E+004,-1.5323667E+004,-2.0515383E+004,-1.9550487E+003,-2.2377826E+000, 0.0000000E+000, 0.0000000E+000, 2.8468157E+003, 6.7108650E+003, 1.4936341E+002, 9.1722094E-001,-5.8768280E-169
 1.5800180E+002, 4.0570349E+004,-1.1406454E+004,-3.2058433E+004,-2.6924385E+003,-2.2453205E+000, 0.0000000E+000, 0.0000000E+000,-2.0319253E+003,-5.5892230E+003, 1.4936341E+002, 9.1722094E-001,-3.9430628E-169
 1.5900508E+002, 3.3586041E+004,-1.0694277E+004,-1.8151245E+004,-1.9475624E+003,-2.1736441E+000, 0.0000000E+000, 0.0000000E+000,-1.6283654E+003, 2.7907824E+003, 1.4936341E+002, 9.1722094E-001,-2.5037734E-168
 1.6000795E+002, 4.5092970E+004,-1.5417476E+004,-1.9986894E+004,-1.9026035E+003,-2.2355036E+000, 0.0000000E+000, 0.0000000E+000, 3.3212314E+003, 7.7837612E+003, 1.4936341E+002, 9.1722094E-001,-1.6610796E-166
 1.6101210E+002, 4.1803094E+004,-1.1859360E+004,-3.1377409E+004,-2.6223005E+003,-2.2375700E+000, 0.0000000E+000, 0.0000000E+000,-7.2760440E+002,-4.0582138E+003, 1.4936341E+002, 9.1722094E-001,-1.3282246E-166
