s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.6302612E+002, 9.9926931E+003,-3.3091444E+003,-5.4051079E+003,-1.4062699E+003,-5.7049742E-001, 0.0000000E+000, 0.0000000E+000,-7.4321866E+001,-1.2839953E+002, 5.9763099E+001, 2.2930294E-001,-1.7735506E-002
 1.6400107E+002, 9.9652604E+003,-3.2843505E+003,-5.5460747E+003,-1.4034160E+003,-5.7298297E-001, 0.0000000E+000, 0.0000000E+000,-2.0022321E+002,-2.6915373E+002, 5.9760304E+001, 2.2930294E-001,-1.4940632E-002
 1.6500748E+002, 9.9943874E+003,-3.3524772E+003,-5.3188528E+003,-1.3879809E+003,-5.7723630E-001, 0.0000000E+000, 0.0000000E+000,-2.4051823E+000,-6.5500767E+001, 5.9758103E+001, 2.2930294E-001,-1.2738869E-002
 1.6602872E+002, 1.0033410E+004,-3.2727625E+003,-5.4286996E+003,-1.3898030E+003,-5.7913725E-001, 0.0000000E+000, 0.0000000E+000,-1.8288900E-001,-5.8434492E+001, 5.9760378E+001, 2.2930294E-001,-1.5014326E-002
 1.6700587E+002, 1.0004790E+004,-3.2586115E+003,-5.3744712E+003,-1.3788468E+003,-5.7581261E-001, 0.0000000E+000, 0.0000000E+000, 2.4344396E+001,-7.7155853E+000, 5.9764596E+001, 2.2930294E-001,-1.9232247E-002
 1.6802032E+002, 9.9970584E+003,-3.2598997E+003,-5.3306363E+003,-1.3880922E+003,-5.7733762E-001, 0.0000000E+000, 0.0000000E+000, 6.5431638E+001, 1.7852847E+001, 5.9761451E+001, 2.2930294E-001,-1.6086895E-002
 1.6902162E+002, 1.0010079E+004,-3.2853053E+003,-5.4483036E+003,-1.3859157E+003,-5.7322959E-001, 0.0000000E+000, 0.0000000E+000,-4.8662814E+001,-1.1001847E+002, 5.9759684E+001, 2.2930294E-001,-1.4320314E-002
 1.7000121E+002, 1.0007197E+004,-3.2907130E+003,-5.3588924E+003,-1.3700716E+003,-5.7072627E-001, 0.0000000E+000, 0.0000000E+000, 3.3651161E+001,-1.3050650E+001, 5.9761748E+001, 2.2930294E-001,-1.6384119E-002
 1.7102528E+002, 9.9646069E+003,-3.2623677E+003,-5.3198320E+003,-1.3734575E+003,-5.7480502E-001, 0.0000000E+000, 0.0000000E+000, 4.6506488E+001, 8.3748569E+000, 5.9761328E+001, 2.2930294E-001,-1.5963995E-002
 1.7201105E+002, 1.0032565E+004,-3.2503572E+003,-5.2533596E+003,-1.3746445E+003,-5.8123411E-001, 0.0000000E+000, 0.0000000E+000, 1.9554412E+002, 1.5362289E+002, 5.9758269E+001, 2.2930294E-001,-1.2905696E-002
 1.7300645E+002, 1.0013237E+004,-3.2875026E+003,-5.1782601E+003,-1.3719899E+003,-5.7811701E-001, 0.0000000E+000, 0.0000000E+000, 2.3577535E+002, 1.7490609E+002, 5.9759037E+001, 2.2930294E-001,-1.3673533E-002
 1.7401001E+002, 9.9990047E+003,-3.2939499E+003,-5.1266603E+003,-1.3764682E+003,-5.7863821E-001, 0.0000000E+000, 0.0000000E+000, 2.6606927E+002, 2.0134770E+002, 5.9758323E+001, 2.2930294E-001,-1.2958895E-002
 1.7500960E+002, 9.9718169E+003,-3.2836052E+003,-5.2278051E+003,-1.3798891E+003,-5.7366591E-001, 0.0000000E+000, 0.0000000E+000, 1.5310632E+002, 7.9943760E+001, 5.9757355E+001, 2.2930294E-001,-1.1990973E-002
 1.7602147E+002, 9.9876768E+003,-3.2936121E+003,-5.2142081E+003,-1.3689941E+003,-5.7652069E-001, 0.0000000E+000, 0.0000000E+000, 1.6166232E+002, 1.1028585E+002, 5.9757137E+001, 2.2930294E-001,-1.1773329E-002
 1.7700172E+002, 1.0045093E+004,-3.3007949E+003,-5.1488845E+003,-1.3624512E+003,-5.8110941E-001, 0.0000000E+000, 0.0000000E+000, 2.7270648E+002, 2.3238134E+002, 5.9756646E+001, 2.2930294E-001,-1.1282485E-002
 1.7801360E+002, 1.0009692E+004,-3.3252479E+003,-5.0730975E+003,-1.3577884E+003,-5.7712175E-001, 0.0000000E+000, 0.0000000E+000, 3.3028676E+002, 2.5298098E+002, 5.9757481E+001, 2.2930294E-001,-1.2116975E-002
 1.7902005E+002, 9.9586867E+003,-3.3001930E+003,-4.9446368E+003,-1.3508469E+003,-5.7028146E-001, 0.0000000E+000, 0.0000000E+000, 4.2214959E+002, 3.6243971E+002, 5.9759366E+001, 2.2930294E-001,-1.4001853E-002
 1.8002486E+002, 9.9982826E+003,-3.3166511E+003,-5.0041204E+003,-1.3568538E+003,-5.6839632E-001, 0.0000000E+000, 0.0000000E+000, 3.6005939E+002, 3.2008877E+002, 5.9758685E+001, 2.2930294E-001,-1.3321007E-002
 1.8100685E+002, 9.9787238E+003,-3.2707080E+003,-5.0910441E+003,-1.3686219E+003,-5.6929973E-001, 0.0000000E+000, 0.0000000E+000, 2.8043619E+002, 2.4778055E+002, 5.9757649E+001, 2.2930294E-001,-1.2285361E-002
 1.8202803E+002, 1.0024142E+004,-3.2978442E+003,-5.1373419E+003,-1.3727224E+003,-5.7106016E-001, 0.0000000E+000, 0.0000000E+000, 2.4808286E+002, 2.1566204E+002, 5.9758030E+001, 2.2930294E-001,-1.2666539E-002
 1.8301151E+002, 1.0017372E+004,-3.2598054E+003,-5.1650497E+003,-1.3638063E+003,-5.7526914E-001, 0.0000000E+000, 0.0000000E+000, 2.5680325E+002, 2.2813484E+002, 5.9756326E+001, 2.2930294E-001,-1.0962457E-002
 1.8402394E+002, 1.0024298E+004,-3.2715703E+003,-5.1083082E+003,-1.3508521E+003,-5.8138526E-001, 0.0000000E+000, 0.0000000E+000, 3.1279818E+002, 2.9298556E+002, 5.9754335E+001, 2.2930294E-001,-8.9717085E-003
