chid,group,dx,t0,t1,x_m,C_T_bar_J_per_m,J_T_bar_W
gsC_c,grid_high_strong,0.5,83.00973,112.00554,85.0,6873545.049529181,50737377.15157029
gsC_m,grid_high_strong,0.25,143.00479,172.00359,15.0,5.614226301658017,21.31247016402445
gsC_m,grid_high_strong,0.25,143.00479,172.00359,22.0,91.49967314476878,382.737941120241
gsC_m,grid_high_strong,0.25,143.00479,172.00359,29.0,716.9272194569294,3046.7451214031826
gsC_m,grid_high_strong,0.25,143.00479,172.00359,39.5,9554.973649926511,41576.85416565569
gsC_m,grid_high_strong,0.25,143.00479,172.00359,46.5,69431.28698921601,302987.0837687102
gsC_m,grid_high_strong,0.25,143.00479,172.00359,50.0,1611548.7183296103,8784719.295415884
gsC_m,grid_high_strong,0.25,143.00479,172.00359,53.5,3111808.307489542,20632572.90448349
gsC_m,grid_high_strong,0.25,143.00479,172.00359,60.5,6429457.477119953,51093081.967499815
gsC_m,grid_high_strong,0.25,143.00479,172.00359,71.0,7378078.118434449,58425265.71502191
gsC_m,grid_high_strong,0.25,143.00479,172.00359,78.0,7184695.964092682,56009942.888522096
gsC_m,grid_high_strong,0.25,143.00479,172.00359,85.0,7453484.743193898,57411278.09687889
gsC_f,grid_high_strong,0.125,180.00251,210.0014,15.0,2.1476823031392223,8.866185496653655
gsC_f,grid_high_strong,0.125,180.00251,210.0014,22.0,44.52690503093054,176.87087964846683
gsC_f,grid_high_strong,0.125,180.00251,210.0014,29.0,522.8428913242013,2096.7172580230585
gsC_f,grid_high_strong,0.125,180.00251,210.0014,39.5,7852.664300006368,32557.52836179597
gsC_f,grid_high_strong,0.125,180.00251,210.0014,46.5,54362.5150041955,225483.73340526948
gsC_f,grid_high_strong,0.125,180.00251,210.0014,50.0,1090114.0849536546,5107151.709624455
gsC_f,grid_high_strong,0.125,180.00251,210.0014,53.5,2529159.8506644294,15432590.85318015
gsC_f,grid_high_strong,0.125,180.00251,210.0014,60.5,5658056.796768094,42811749.05034945
gsC_f,grid_high_strong,0.125,180.00251,210.0014,71.0,7385428.344958239,57531498.7988919
gsC_f,grid_high_strong,0.125,180.00251,210.0014,78.0,7576212.1173873795,58863256.16992179
gsC_f,grid_high_strong,0.125,180.00251,210.0014,85.0,7505031.169295835,57910099.11091874
