parent_case_id,physical_case_id,run_chid,job_attempt_id,window_id,rnd_seed,time_block_id,block_start_sample_index,block_start_s,block_end_s,block_len_samples,x_coord_m,xf_actual_m,xi,deltaT_block_mean_K,point_role,detection_limit_K
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,82.5,40,8.5,139.04379450000002,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,85,40,9,136.135863,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,90,40,10,130.39699100000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,95,40,11,124.519679,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,5,40,7,152.676096,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,10,40,6,161.46478300000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,15,40,5,170.9702695,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,17.5,40,4.5,177.00343600000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,20,40,4,184.24022050000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,22.5,40,3.5,192.67610550000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,25,40,3,201.84194099999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,27.5,40,2.5,215.44969799999998,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,30,40,2,234.07518350000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,31.25,40,1.75,248.81737450000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,32.5,40,1.5,264.07401850000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,33.75,40,1.25,284.82671850000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,35,40,1,310.9369145,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,36.25,40,0.75,347.02205850000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,37.5,40,0.5,399.59699899999998,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,38.75,40,0.25,546.518596,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,40,40,0,739.58345499999996,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,41.25,40,0.25,489.47934999999995,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,42.5,40,0.5,350.71639700000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,43.75,40,0.75,316.33547549999997,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,45,40,1,285.50314399999996,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,46.25,40,1.25,267.06809899999996,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,47.5,40,1.5,250.27229900000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,48.75,40,1.75,238.56226350000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,50,40,2,227.44000299999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,51.25,40,2.25,216.6508925,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,52.5,40,2.5,208.28328299999998,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,53.75,40,2.75,200.61129,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,55,40,3,194.15010000000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,56.25,40,3.25,188.92631900000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,57.5,40,3.5,184.69058850000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,58.75,40,3.75,181.230615,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,60,40,4,178.54425550000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,61.25,40,4.25,175.46424400000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,62.5,40,4.5,172.58247650000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,63.75,40,4.75,169.5422145,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,65,40,5,167.21237600000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,66.25,40,5.25,164.7497085,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,67.5,40,5.5,162.65466099999998,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,68.75,40,5.75,160.3635275,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,70,40,6,157.97563650000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,72.5,40,6.5,153.34876449999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,75,40,7,149.2532405,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,77.5,40,7.5,145.90064799999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,80,40,8,142.79305500000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,82.5,40,8.5,139.12976900000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,85,40,9,135.70585550000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,90,40,10,130.2258435,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00001,1,104.00621,123.00230999999999,20,95,40,11,124.51287299999998,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,5,40,7,152.46527399999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,10,40,6,161.48480650000002,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,15,40,5,171.14121399999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,17.5,40,4.5,177.6154645,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,20,40,4,185.14247650000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,22.5,40,3.5,192.16368550000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,25,40,3,201.62405399999997,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,27.5,40,2.5,215.7850305,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,30,40,2,235.07826,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,31.25,40,1.75,249.53574600000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,32.5,40,1.5,263.18848400000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,33.75,40,1.25,285.00631450000003,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,35,40,1,310.75828849999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,36.25,40,0.75,342.8293855,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,37.5,40,0.5,398.14324150000004,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,38.75,40,0.25,552.07235250000008,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,40,40,0,730.24180850000005,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00002,2,105.00098,124.00432000000001,20,41.25,40,0.25,486.04898850000001,ACTIVE,0.5
