s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.0500182E+002, 3.8355941E+004,-1.0877835E+004,-2.5881977E+004,-1.6227152E+003,-1.5013856E+000, 0.0000000E+000, 0.0000000E+000,-2.8895619E+002,-2.8087318E+001, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0600203E+002, 3.7965090E+004,-1.0702331E+004,-2.6729976E+004,-1.5878630E+003,-1.4992341E+000, 0.0000000E+000, 0.0000000E+000,-1.2672771E+003,-1.0565802E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0700081E+002, 4.2906699E+004,-1.1700023E+004,-2.7212658E+004,-1.5880584E+003,-1.5375211E+000, 0.0000000E+000, 0.0000000E+000, 1.7686608E+003, 2.4044213E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0800047E+002, 3.9551253E+004,-1.1467929E+004,-2.5839757E+004,-1.5872900E+003,-1.5991750E+000, 0.0000000E+000, 0.0000000E+000,-2.9282505E+001, 6.5467771E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0900163E+002, 4.0957528E+004,-1.1326805E+004,-2.6421104E+004,-1.6050097E+003,-1.5488967E+000, 0.0000000E+000, 0.0000000E+000, 1.2379910E+003, 1.6030608E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1000317E+002, 3.9558571E+004,-1.1218498E+004,-2.7050712E+004,-1.5963856E+003,-1.5409850E+000, 0.0000000E+000, 0.0000000E+000,-2.4494645E+002,-3.0856578E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1100121E+002, 4.1034366E+004,-1.1627743E+004,-2.8003834E+004,-1.6522723E+003,-1.5908129E+000, 0.0000000E+000, 0.0000000E+000,-3.1723912E+001,-2.5107339E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1200238E+002, 4.1520361E+004,-1.1520320E+004,-2.7451830E+004,-1.6028617E+003,-1.5796574E+000, 0.0000000E+000, 0.0000000E+000, 6.4495242E+002, 9.4377031E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1300327E+002, 3.9210894E+004,-1.1248850E+004,-2.5343504E+004,-1.5418220E+003,-1.6259557E+000, 0.0000000E+000, 0.0000000E+000, 3.3818483E+002, 1.0750925E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1400301E+002, 4.1191495E+004,-1.1721637E+004,-2.5076102E+004,-1.5220703E+003,-1.6494729E+000, 0.0000000E+000, 0.0000000E+000, 1.9171239E+003, 2.8700355E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1500296E+002, 4.2043979E+004,-1.1941377E+004,-2.6672387E+004,-1.5915500E+003,-1.6470136E+000, 0.0000000E+000, 0.0000000E+000, 1.3592555E+003, 1.8370177E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1600156E+002, 4.0808355E+004,-1.1680335E+004,-2.9134683E+004,-1.7079494E+003,-1.6617018E+000, 0.0000000E+000, 0.0000000E+000,-1.4524010E+003,-1.7162737E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1700066E+002, 4.0912734E+004,-1.1805144E+004,-2.6916275E+004,-1.7476400E+003,-1.6620954E+000, 0.0000000E+000, 0.0000000E+000, 2.4702764E+002, 4.4201294E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1800246E+002, 3.6982088E+004,-1.0789922E+004,-2.3835481E+004,-1.6343833E+003,-1.6332281E+000, 0.0000000E+000, 0.0000000E+000,-1.2856635E+002, 7.2066911E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.1900015E+002, 3.9323570E+004,-1.1462626E+004,-2.5887077E+004,-1.7091621E+003,-1.6003995E+000, 0.0000000E+000, 0.0000000E+000,-3.6216049E+002, 2.6310420E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2000229E+002, 4.0500843E+004,-1.1798327E+004,-2.8774984E+004,-1.8585663E+003,-1.5633035E+000, 0.0000000E+000, 0.0000000E+000,-1.5807134E+003,-1.9325976E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2100183E+002, 3.8958735E+004,-1.1412083E+004,-2.7786251E+004,-1.8732401E+003,-1.5687109E+000, 0.0000000E+000, 0.0000000E+000,-2.2075597E+003,-2.1144078E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2200066E+002, 3.8868639E+004,-1.1227112E+004,-2.5582114E+004,-1.6982513E+003,-1.6593176E+000, 0.0000000E+000, 0.0000000E+000,-5.8831611E+002, 3.5950191E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2300113E+002, 4.2617012E+004,-1.2298745E+004,-2.6457116E+004,-1.6717930E+003,-1.6752173E+000, 0.0000000E+000, 0.0000000E+000, 1.5130110E+003, 2.1876832E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2400110E+002, 4.1724173E+004,-1.1620331E+004,-2.8203483E+004,-1.6271018E+003,-1.6236051E+000, 0.0000000E+000, 0.0000000E+000, 1.7960001E+002, 2.7163265E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2500368E+002, 4.0902872E+004,-1.1438092E+004,-2.8022524E+004,-1.6946548E+003,-1.5736153E+000, 0.0000000E+000, 0.0000000E+000, 1.7324622E+002,-2.5397191E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2600067E+002, 3.8278437E+004,-1.1374592E+004,-2.7183539E+004,-1.6762423E+003,-1.5887188E+000, 0.0000000E+000, 0.0000000E+000,-2.4723092E+003,-1.9575251E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2700110E+002, 3.7629055E+004,-1.1307777E+004,-2.4752056E+004,-1.6100246E+003,-1.5835587E+000, 0.0000000E+000, 0.0000000E+000,-8.6407542E+002,-4.2386250E+001, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2800322E+002, 3.9444514E+004,-1.1475222E+004,-2.4918944E+004,-1.6266481E+003,-1.5736448E+000, 0.0000000E+000, 0.0000000E+000, 7.1180417E+002, 1.4221259E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.2900296E+002, 4.0448176E+004,-1.1610165E+004,-2.6651494E+004,-1.6095450E+003,-1.5925996E+000, 0.0000000E+000, 0.0000000E+000, 2.8073909E+002, 5.7537892E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3000261E+002, 4.0628018E+004,-1.1599872E+004,-2.7193878E+004,-1.5817362E+003,-1.5567507E+000, 0.0000000E+000, 0.0000000E+000, 2.3285953E+002, 2.5097525E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3100220E+002, 4.0004280E+004,-1.1042869E+004,-2.7550975E+004,-1.5320322E+003,-1.4865546E+000, 0.0000000E+000, 0.0000000E+000, 4.8838635E+001,-1.2308267E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3200179E+002, 3.8940396E+004,-1.1190455E+004,-2.7068318E+004,-1.5555640E+003,-1.4990626E+000, 0.0000000E+000, 0.0000000E+000,-7.9033269E+002,-8.7544043E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3300328E+002, 4.0808273E+004,-1.1750560E+004,-2.7429525E+004,-1.6259635E+003,-1.5253920E+000, 0.0000000E+000, 0.0000000E+000, 4.5847491E+001, 6.9874971E-001, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3400270E+002, 3.8336093E+004,-1.0773918E+004,-2.7102768E+004,-1.5465929E+003,-1.5298291E+000, 0.0000000E+000, 0.0000000E+000,-1.3195310E+003,-1.0887164E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3500224E+002, 4.0191449E+004,-1.1211493E+004,-2.5402092E+004,-1.4986198E+003,-1.5579477E+000, 0.0000000E+000, 0.0000000E+000, 1.6636086E+003, 2.0776864E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3600185E+002, 4.2048408E+004,-1.1750521E+004,-2.6587712E+004,-1.5209543E+003,-1.6099009E+000, 0.0000000E+000, 0.0000000E+000, 1.6323049E+003, 2.1876109E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3700301E+002, 4.0610364E+004,-1.1398807E+004,-2.6394976E+004,-1.4604955E+003,-1.6087952E+000, 0.0000000E+000, 0.0000000E+000, 5.3757828E+002, 1.3544761E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3800056E+002, 4.0735081E+004,-1.1560537E+004,-2.6158880E+004,-1.5337412E+003,-1.6421856E+000, 0.0000000E+000, 0.0000000E+000, 9.9307065E+002, 1.4802809E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.3900340E+002, 4.4102851E+004,-1.2341762E+004,-2.8771971E+004,-1.6835018E+003,-1.6992300E+000, 0.0000000E+000, 0.0000000E+000, 1.6156608E+003, 1.3039163E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
