parent_chid,repeat_chid,sensor,x_m,parent_t0_s,parent_t1_s,repeat_t0_s,repeat_t1_s,parent_deltaT_bar_C,repeat_deltaT_bar_C,pair_mean_deltaT_C,absolute_mean_difference_C,repeat_seed_mean_sd_C,parent_bootstrap_sd_C,repeat_bootstrap_sd_C,single_run_mean_noise_sd_C,noise_limit_C,weak_signal_eligible
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_5250,52.500000,144.000020,173.005550,155.002720,184.005620,5.305213000,5.409641000,5.357427000,0.104428000,0.073841747,0.076496000,0.061541000,0.076496000,0.149932160,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_5500,55.000000,144.000020,173.005550,155.002720,184.005620,8.629135000,9.016129000,8.822632000,0.386994000,0.273646082,0.133679000,0.326849000,0.326849000,0.640624040,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_5750,57.500000,144.000020,173.005550,155.002720,184.005620,40.465244000,40.470504000,40.467874000,0.005260000,0.003719382,9.430717000,9.938213000,9.938213000,19.478897480,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_6000,60.000000,144.000020,173.005550,155.002720,184.005620,115.687941000,115.057380000,115.372660500,0.630561000,0.445873959,9.316749000,18.441603000,18.441603000,36.145541880,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_6250,62.500000,144.000020,173.005550,155.002720,184.005620,238.471950000,193.262011000,215.866980500,45.209939000,31.968254444,13.715234000,19.848992000,31.968254444,62.657778710,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_6500,65.000000,144.000020,173.005550,155.002720,184.005620,338.084346000,315.456464000,326.770405000,22.627882000,16.000328806,15.663327000,32.463228000,32.463228000,63.627926880,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_6750,67.500000,144.000020,173.005550,155.002720,184.005620,417.657150000,394.404770000,406.030960000,23.252380000,16.441915577,16.165452000,28.221733000,28.221733000,55.314596680,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_7000,70.000000,144.000020,173.005550,155.002720,184.005620,466.414693000,433.532489000,449.973591000,32.882204000,23.251229429,12.137129000,19.624313000,23.251229429,45.572409680,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_7500,75.000000,144.000020,173.005550,155.002720,184.005620,408.991005000,405.315309000,407.153157000,3.675696000,2.599109567,7.539211000,4.296803000,7.539211000,14.776853560,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_8000,80.000000,144.000020,173.005550,155.002720,184.005620,331.504399000,333.554941000,332.529670000,2.050542000,1.449952153,4.525377000,5.075468000,5.075468000,9.947917280,false
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_8500,85.000000,144.000020,173.005550,155.002720,184.005620,299.560197000,297.217137000,298.388667000,2.343060000,1.656793615,3.497811000,5.072521000,5.072521000,9.942141160,false
