batch,run_chid,job_attempt_id,run_core_sha256,attempt_input_sha256,registered_attempt_input_sha256,input_hash_match,fds_version_actual,formal_version_match,version_policy,quality_status,scheduler_log_status,scheduler_log_issue,out_completed_successfully,devc_t_final_s,hrr_t_final_s,hrr_closure_rel_error_tail,full_field_present,allocated_cores,wall_clock_s,status
D2,d_q036_s45_x50_g25_r104729,d_q036_s45_x50_g25_r104729_a01,46652bf285869acea860b58ecd742e09f55216762c8ee1d2520823574ec972e7,31baf865d032c33a12136841a3c88f8b28a53e8ac46fec11aefb77be38d497c5,31baf865d032c33a12136841a3c88f8b28a53e8ac46fec11aefb77be38d497c5,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0022780960757701595,True,21,6337.406,PASS
D3,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,dc0fc900e953310ad4979653bab5299e9f248aedc86ee40be1d704135637d204,6ac699b867222253729e841866696749cfa1b078e790ac883ae4268fa7f89ca5,6ac699b867222253729e841866696749cfa1b078e790ac883ae4268fa7f89ca5,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0005121408934494102,True,21,5723.353,PASS
D3,d_q018_s35_x50_g25_r204729,d_q018_s35_x50_g25_r204729_a01,7c7a7e1445e6655bfd7b3f897365634649eb77e2f2588562159031e0d3b34d95,ad01e8495f3a239770997430320182c15c3478898cb948ee8420e41dfc4ffb00,ad01e8495f3a239770997430320182c15c3478898cb948ee8420e41dfc4ffb00,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0005154974963023004,True,21,5880.437,PASS
D3,d_q018_s35_x50_g25_r304729,d_q018_s35_x50_g25_r304729_a01,8300452c9451d1569a381177550a722037076f4ca22a5122c0c44b55cf2ddeaa,c55346536677a9b9084ef0cb218899fcdc2337502c09cced7333ffee2c718537,c55346536677a9b9084ef0cb218899fcdc2337502c09cced7333ffee2c718537,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0008009771961579183,True,21,5654.443,PASS
D3,d_q018_s35_x60_g25_r104729,d_q018_s35_x60_g25_r104729_a01,883caee807407e0a5bbabb97d4d5bf6f788ff879b6da14e5274ab6b8435a2a25,a1fcbddfd7e0b57eca06516b909983b384a007ffc5cd20ec214c090170e7f2d4,a1fcbddfd7e0b57eca06516b909983b384a007ffc5cd20ec214c090170e7f2d4,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0001363071078348335,True,21,5637.744,PASS
D3,d_q018_s50_x40_g25_r104729,d_q018_s50_x40_g25_r104729_a01,0d85842dbbc3bdfac5d036141b4d59e65075d1723a5066e55d5a6ae8ce23036b,df8a69bfc631cd18826bae6b7df47cd3b3c7610b29062b93fe1f27a115333004,df8a69bfc631cd18826bae6b7df47cd3b3c7610b29062b93fe1f27a115333004,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.00035124551971320116,True,21,5071.751,PASS
D3,d_q018_s50_x60_g25_r104729,d_q018_s50_x60_g25_r104729_a01,bbd399c3b91f2792f00d10b69af4af7bcffdf014094e7352ada43e013e9787f1,300806840017a956ce1d64ad604aa8ee789c21c70287c9256eb9a8130d3825cf,300806840017a956ce1d64ad604aa8ee789c21c70287c9256eb9a8130d3825cf,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0008379157706094702,True,21,4934.912,PASS
D3,d_q027_s45_x40_g25_r204729,d_q027_s45_x40_g25_r204729_a01,51e6256031e99810d0293df25cc155cf81595c921021892c15bc420e2bfea3cf,19c61e5d15f6a61d923a66dc1b89e06f3d95bb9313fb967961a13959c6212bc1,19c61e5d15f6a61d923a66dc1b89e06f3d95bb9313fb967961a13959c6212bc1,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0003271909754733407,True,21,5832.714,PASS
D3,d_q027_s45_x40_g25_r304729,d_q027_s45_x40_g25_r304729_a01,aedbba6f710b2c3c653944f2135ebaf51c6a4879d1e7e90efe5dba8e25629a03,ef744140c8693823f44c3cac4d13ac8ab51d0485ecfe4dbc2c417a7280a67fd3,ef744140c8693823f44c3cac4d13ac8ab51d0485ecfe4dbc2c417a7280a67fd3,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,2.545941784737209e-05,True,21,5768.414,PASS
D3,d_q027_s45_x60_g25_r204729,d_q027_s45_x60_g25_r204729_a01,791d2290fad3134c1d5aa556580f1e8659453a1d72bb317030015c09b3c4feea,a7e315652db3264cbff758ee9f7afece99bd0aa709680f053ea0e89f709af01d,a7e315652db3264cbff758ee9f7afece99bd0aa709680f053ea0e89f709af01d,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.00011265873044670976,True,21,5850.591,PASS
D3,d_q027_s45_x60_g25_r304729,d_q027_s45_x60_g25_r304729_a01,5f3da8bb7bf024adce0e6d56962f3d623ef767406d1135923f5710aba36e1673,9fe9c7adaa70d6c09436f4c042929aadf74b2cefc9db8e30f8d79c74c29c0062,9fe9c7adaa70d6c09436f4c042929aadf74b2cefc9db8e30f8d79c74c29c0062,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,7.114634257736836e-05,True,21,5801.942,PASS
D3,d_q036_s35_x40_g25_r104729,d_q036_s35_x40_g25_r104729_a01,6055f6efc3c5ec254f3fd59d4fc35afd4761383dfdf77904b454049e69fe90e5,ae9ab14ea5ffbf71a2adfb5d301b8855acd48cf0854116e75cd97e343972a458,ae9ab14ea5ffbf71a2adfb5d301b8855acd48cf0854116e75cd97e343972a458,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0005799396116144657,True,21,6374.265,PASS
D3,d_q036_s35_x60_g25_r104729,d_q036_s35_x60_g25_r104729_a01,a82f653c8528a9b89c87ecb7f26a6f03790886ed4d0f5a5e9748c05738addfef,c99fd0e42ee8fc6b49c7832ee2f1ff880f45420b64cd6f37d5596347bf779ef7,c99fd0e42ee8fc6b49c7832ee2f1ff880f45420b64cd6f37d5596347bf779ef7,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0010349573251762399,True,21,6290.81,PASS
D3,d_q036_s50_x40_g25_r104729,d_q036_s50_x40_g25_r104729_a01,dd9d900ca102f5871a2d4ca54a02085e184fde1aee27e615d3dd7763a54689e2,48457c532adbdce5a88ff8f8d9d745808954c30b96ffd0bfc9bc09c09adaa39f,48457c532adbdce5a88ff8f8d9d745808954c30b96ffd0bfc9bc09c09adaa39f,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0023538620071683705,True,21,5963.969,PASS
D3,d_q036_s50_x50_g25_r204729,d_q036_s50_x50_g25_r204729_a01,ff6e8e5d41fdaef31d003698178531a0df713f45983f53d7ad3e946ef992d007,899b117d744121cd1d9b025047a44566e0bfed23ba4c8b0bbdc3f8f820f5b4c5,899b117d744121cd1d9b025047a44566e0bfed23ba4c8b0bbdc3f8f820f5b4c5,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0017645107526879859,True,21,5981.743,PASS
D3,d_q036_s50_x50_g25_r304729,d_q036_s50_x50_g25_r304729_a01,523ac1864b487f823ea8748ae4b7ca530f1a1d5522bd4f08d6563cd5da4f58aa,92ab8d681121bc1c429e982c292009163c591921929c002e920b7689f8e509e0,92ab8d681121bc1c429e982c292009163c591921929c002e920b7689f8e509e0,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,3.1503584229439085e-05,True,21,6120.991,PASS
D3,d_q036_s50_x60_g25_r104729,d_q036_s50_x60_g25_r104729_a01,a42dcc0fa0f991b4be805fa1c6f374c8539ca4bef90aafd124dbe9b748f2cafe,0de6e9657979917ccab8e6fd763bb2d930c0e2e75e76bd5e19f6914ca6add6eb,0de6e9657979917ccab8e6fd763bb2d930c0e2e75e76bd5e19f6914ca6add6eb,True,6.9.1,False,USER_DIRECTED_IGNORE_VERSION_DIFFERENCE,PASS,PASS,,True,300.0,300.0,0.0003472473118278382,True,21,6064.726,PASS
